10,12	1.0
-10,33	1.0
133,130	1.0
73,14	0.9285714285714286
-78,70	1.0
73,129	1.0
-188,4	0.9166666666666666
-73,3	0.9054054054054054
188,68	1.0
-188,59	1.0
-188,183	1.0
-1,9	1.0
73,226	1.0
10,100	1.0
-191,32	1.0
-10,48	1.0
188,35	1.0
188,129	1.0
73,99	1.0
-73,68	1.0
73,128	1.0
73,85	0.9090909090909091
-73,11	1.0
19,119	1.0
-188,6	1.0
-133,181	0.9565217391304348
191,113	1.0
-19,129	0.9166666666666666
78,88	1.0
-191,4	0.9090909090909091
-188,8	1.0
19,118	1.0
78,80	1.0
-191,6	0.92
10,230	1.0
-73,102	1.0
78,99	1.0
10,193	1.0
-73,15	0.9333333333333333
-78,3	0.9242424242424242
-73,70	1.0
78,14	1.0
73,188	1.0
-191,230	1.0
-78,68	1.0
191,10	1.0
188,192	1.0
133,119	0.9285714285714286
-188,230	1.0
-19,128	1.0
188,10	1.0
10,11	1.0
73,96	1.0
188,190	1.0
-78,11	1.0
73,84	0.9333333333333333
1,4	1.0
10,68	0.95
1,2	1.0
191,12	0.9090909090909091
-188,32	1.0
-10,30	1.0
1,5	0.9090909090909091
78,71	0.9166666666666666
188,180	1.0
-73,8	1.0
78,13	0.9444444444444444
191,9	1.0
-73,140	1.0
73,88	0.9375
-133,136	1.0
73,13	0.9090909090909091
78,86	1.0
73,80	1.0
73,87	1.0
191,115	0.9166666666666666
133,128	1.0
188,11	1.0
-133,96	1.0
73,76	1.0
73,92	0.9166666666666666
-133,166	0.9230769230769231
188,73	1.0
-188,12	1.0
78,87	1.0
191,68	0.9230769230769231
-78,15	1.0
-191,92	1.0
10,14	1.0
-10,92	1.0
78,96	1.0
73,38	1.0
73,163	1.0
-73,100	1.0
10,98	1.0
191,232	1.0
191,49	1.0
188,189	1.0
-133,106	1.0
-191,149	0.9166666666666666
133,175	1.0
73,97	1.0
78,79	1.0
73,98	0.9090909090909091
188,9	1.0
-188,33	1.0
10,79	1.0
191,69	0.9259259259259259
73,74	0.9210526315789473
-188,34	1.0
73,136	1.0
10,232	1.0
-19,117	1.0
10,4	1.0
78,93	1.0
191,31	1.0
-191,35	0.9166666666666666
188,198	1.0
10,185	1.0
73,161	1.0
73,77	1.0
78,89	1.0
-10,90	1.0
10,225	1.0
78,72	1.0
188,191	1.0
-188,159	1.0
-10,49	1.0
-191,221	1.0
-188,62	0.9411764705882353
-133,145	1.0
188,31	1.0
78,98	1.0
-133,73	1.0
-73,101	1.0
-78,8	0.9090909090909091
73,72	1.0
73,71	1.0
1,3	1.0
10,175	1.0
73,130	1.0
-78,140	0.9090909090909091
188,226	1.0
78,84	1.0
-133,117	1.0
73,93	0.9166666666666666
73,144	1.0
-78,102	1.0
-188,76	1.0
19,130	1.0
10,31	1.0
-191,33	1.0
-73,7	1.0
-19,106	0.9166666666666666
73,81	1.0
188,121	1.0
-191,14	1.0
-191,59	1.0
10,93	1.0
73,112	1.0
188,187	1.0
188,115	0.9230769230769231
10,99	1.0
-188,14	1.0
-191,76	1.0
-188,154	1.0
73,78	1.0
19,136	1.0
133,144	1.0
188,97	1.0
-133,235	0.9166666666666666
73,79	0.9090909090909091
78,77	1.0
-78,7	1.0
78,92	1.0
-188,99	1.0
191,194	0.9090909090909091
191,152	1.0
10,101	1.0
73,89	1.0
-133,38	1.0
188,113	0.9090909090909091
191,151	1.0
191,11	1.0
10,229	1.0
10,81	1.0
10,32	1.0
10,71	1.0
191,148	1.0
10,195	1.0
-188,149	1.0
188,130	1.0
-191,183	1.0
-191,48	1.0
188,111	0.9090909090909091
188,163	1.0
73,75	1.0
78,85	1.0
10,149	1.0
188,185	1.0
-188,21	1.0
-191,159	1.0
188,225	1.0
191,197	1.0
10,88	1.0
-188,90	1.0
10,87	1.0
188,151	1.0
191,223	1.0
